	OS052	OS152	OS186	OS457	OS525	OS526	OS384	OS742	OS766	OS774	OS833	SJSA	U2OS	MG63	MG63.3	SaOS2	HuO9	HOS	c143B
PPIG	4.782717605	6.168195852	6.56129142	6.131409935	5.590985987	6.109952367	1.212345736	6.935633868	6.667900767	7.407365338	5.860723247	4.502843675	4.82334574	5.56669717	6.251390219	4.921517468	5.034949916	5.35179711	6.523756168
PPIH	5.886148424	5.008991778	5.231384651	4.830492669	4.719668934	5.34031576	6.288115274	5.38985767	5.017809159	6.589521027	6.332161483	5.692227798	6.468671954	6.060216942	6.366325825	4.164351097	4.298835022	6.639849165	6.014333672
PPIL1	5.986399594	4.848597542	5.880815796	5.01555847	5.240825625	5.671977395	7.362888089	6.143856656	5.391320018	7.107028765	6.40519749	6.144084545	6.215653028	6.452873341	6.263894552	6.170732832	5.292804321	7.441304319	6.881465014
PPIL2	5.705984823	6.004654597	6.35010574	6.562449199	5.656176334	5.747652291	7.536689862	5.655015714	5.309503572	5.859797089	5.785513396	6.489742073	6.900482428	6.581223835	6.05407769	6.175752457	6.218226536	6.029639684	5.432158886
PPIL3	3.437801839	3.451650647	3.008087295	3.58292933	4.203631911	4.359794573	1.212345736	3.574998183	3.757310214	4.476023883	2.973288362	2.910519128	3.872282727	3.876659016	4.460221256	2.891557468	3.70000398	3.760030016	4.280025653
PPIL4	3.067027361	5.259032746	4.810527228	4.760427418	4.699329173	5.373269225	1.661692254	5.01288631	5.172831712	5.878891453	4.400768618	4.532750037	3.908342531	5.465415515	5.582273318	5.314453336	5.110805572	4.968654568	5.496341017
PPIP5K1	4.960649418	3.941010564	4.105562158	3.170171613	3.204526101	3.663254956	4.445727297	4.492108203	3.560537801	3.850627174	3.7874449	4.686994563	4.170201339	3.631108869	3.372144086	3.818691754	4.322070783	3.890764206	3.840022831
PPIP5K2	3.496505634	5.364057206	5.460108645	6.035635079	4.991325332	5.373703559	0.956662521	6.298253109	5.10598018	5.11411557	6.363081201	4.520590452	3.658675497	4.603036249	4.791884509	4.079659583	5.393263693	3.890764206	4.976377862
PPM1A	5.652039559	4.651112901	4.420619808	6.118201241	5.358605853	5.841073203	3.619387024	5.448806071	5.122985714	4.985301436	4.987506653	4.358501034	6.095189375	4.454523282	4.576639574	4.884329362	6.395927774	4.779105391	5.1225589
PPM1B	4.458390586	5.181227031	5.191576741	4.841761356	5.92428308	5.648478621	2.626318079	5.106898375	5.307852021	4.589463423	5.272558121	5.062715348	5.541219339	3.94676986	3.809320882	5.383022211	5.958492276	5.590037955	5.694894602
PPM1D	5.749390337	4.852321306	4.54627643	4.219222421	4.760293544	5.203839645	4.329018956	4.212103431	5.477586056	4.8020933	4.988673448	4.859962025	6.671134068	4.394861515	4.095132739	5.687137619	5.366004934	4.60631233	4.502038529
PPM1E	1.761954855	0.403457221	3.827345833	2.897222885	4.344411238	0.335813955	1.823830944	3.826391506	5.255693034	4.270240945	5.069193043	1.791093869	3.084479963	0.606422207	1.475131673	5.601267032	2.978743565	3.446587165	2.567612409
PPM1F	5.571242426	6.322249607	6.318400633	6.626043646	5.072010195	5.932353288	8.64825925	6.093821381	5.620150355	5.04419746	5.516149058	7.010539906	6.638967232	7.299286296	7.256783585	5.877850634	5.815942983	5.163809906	5.671329669
PPM1G	7.924882747	7.760678173	8.707287472	7.104061825	8.194605944	7.986008385	9.641540505	7.308544301	8.015716468	8.475548489	7.802552012	8.56584218	8.599920967	7.977273338	8.191682695	9.094339117	7.716588526	8.803856313	8.674168815
PPM1H	1.271647716	2.956751366	5.045698893	3.313925776	4.007148522	1.742576689	4.910309574	4.591611785	3.582560746	3.437063361	2.542382812	3.1433307	3.303396672	1.651758193	1.362143182	5.372442743	2.942296125	5.06952959	2.050560278
PPM1K	3.129831587	3.591892437	3.339382617	3.559542533	3.796572394	3.960203544	1.024955328	3.989808419	5.009704565	2.985126295	2.231472512	3.044883936	2.131641255	1.172455058	0.850227959	3.547107841	3.884205867	3.685702751	2.993469138
PPM1L	2.048701176	3.011064467	4.691596269	1.200438424	5.416570069	2.152054168	1.478996794	4.204726898	4.669907893	3.676698043	3.07785759	0.450968091	1.524265474	0.994731665	1.196253227	2.157511017	3.317951388	0.539580347	2.920490258
PPM1M	3.776486008	4.808906505	3.469914605	4.32812217	4.263598499	2.755631832	4.216706159	3.160263646	4.818811617	2.882015503	3.16300718	4.441104293	4.895860108	4.807981207	4.822460743	3.469813129	3.507623957	4.592817707	4.45817734
PPME1	6.767419968	6.465689261	5.649700954	6.379668943	6.118470786	6.279931667	8.344787353	8.503729431	5.882288377	6.575131451	6.538645473	6.079700528	6.496329483	6.540506265	6.003956322	7.077496529	6.412259492	8.324976662	5.270711402
PPOX	4.783391361	3.69917068	4.154266556	4.768501905	4.57176891	3.880537174	4.604795406	3.8070365	3.210656238	3.336649159	3.782071324	3.245372052	3.663958477	4.223878903	3.893049589	3.390610911	3.434063125	2.721105526	2.402028122
PPP1CA	7.597692775	7.451481745	6.508097086	6.976263009	7.233301631	7.254789828	9.078052726	6.729410814	6.735189353	6.635154854	7.133405188	9.286715401	7.912438353	7.685913618	7.338392161	7.594151158	7.884626171	9.475609966	8.01662242
